Regenlens,Mineralenrijkdom,Overstroming,Flux,Zuurgraad,BodemGLGKlasse,Zuurgraad,orig_code
2,2,2,2,3,7,3,20202027
2,2,2,2,3,8,3,20202028
2,2,2,2,3,9,3,20202029
2,2,2,3,3,1,3,20202031
2,2,2,3,3,2,3,20202032
2,2,2,3,3,3,3,20202033
2,2,2,3,3,4,3,20202034
2,2,2,3,3,5,3,20202035
2,2,2,3,3,6,3,20202036
2,2,2,3,3,7,3,20202037
2,2,2,3,3,8,3,20202038
2,2,2,3,3,9,3,20202039
